datetime,tweet_id,text,reply_count,retweet_count,like_count,quote_count,username
2022-10-24 06:25:07+00:00,1584430770034446336,https://t.co/1S9ia4hMRn,2,19,47,0,ecommurz
2022-10-24 06:23:26+00:00,1584430345914847232,"No more free meals, snacks and all cuz bocil in India stopped playing FF",26,236,806,76,ecommurz
2022-10-23 11:01:03+00:00,1584137821010264065,@adityadaniel 😺😺😺😺😺👌,0,0,0,0,ecommurz
2022-10-22 14:25:31+00:00,1583826892167479296,@cucunyasoekiman @racheltjhia MY GOD are you Bukalapak? Cuz I want to pivot and be your Mitra so bad,2,2,34,2,ecommurz
2022-10-22 04:09:04+00:00,1583671756136382464,@TidurBeruang1 This is why we cant compare buka sama goto/shopee,4,5,64,0,ecommurz
2022-10-21 04:31:10+00:00,1583314929347485696,@ateacupforus Murz approved 😺😺😺,0,0,0,0,ecommurz
2022-10-21 02:47:00+00:00,1583288715115626497,See you at Setiabudi One today? 🤫 https://t.co/heLD7JQok3,20,58,1235,17,ecommurz
2022-10-21 02:46:58+00:00,1583288707184201728,From this meme        to this https://t.co/wbSkj4ljtG,1548,7426,47114,3403,ecommurz
2022-10-20 05:50:57+00:00,1582972618411737088,"@IchaVarma Honestly dont get why people mad about the dude @raymondchins, just move on if u disagree 🤷‍♂️",71,78,514,88,ecommurz
2022-10-20 05:44:42+00:00,1582971049171628032,Context: https://t.co/SamNfxLEP5,0,1,6,0,ecommurz
2022-10-20 05:41:22+00:00,1582970206598856704,Telkomsel after angry mob gather around Twitter with pitchfork and allat ranting about No Spam thingy https://t.co/uQOkdVKDN7,4,37,153,1,ecommurz
2022-10-20 04:15:51+00:00,1582948688036777984,"@nuicemedia Taking a lunch break is a sin now? Ffs

Alexa play Feels Like We Only Go Backward by Tame Impala plz",0,5,13,0,ecommurz
2022-10-20 03:54:53+00:00,1582943411966906368,@Marceluminar @JohnPompliano @DesignRant2 Hope the walking buddy aint some freak or serial killer 🤣,1,0,4,0,ecommurz
2022-10-19 15:42:21+00:00,1582759063729102848,This is how Instagram looks like when Traveloka first said they going to go public #BELI https://t.co/HeHi5iUShz,10,79,474,8,ecommurz
2022-10-19 15:38:10+00:00,1582758011420176384,@chew3x Ada apa nihhh 👀,0,0,0,0,ecommurz
2022-10-19 15:37:52+00:00,1582757936530882561,@wiuindonesia @nuicemedia @Google LETS! On Signal plz,0,0,0,0,ecommurz
2022-10-19 03:42:19+00:00,1582577861005045760,@bilipad We reached the peak now bro,1,0,1,0,ecommurz
2022-10-18 17:43:52+00:00,1582427254738415617,@evilburrito23 The fuck happened 🤣🤣,0,0,0,0,ecommurz
2022-10-18 17:31:58+00:00,1582424262651965441,@sintakajar That cat look depressed HAHAHAHAHAH lyk me,1,0,2,0,ecommurz
2022-10-17 09:02:44+00:00,1581933720960843777,"To see the report in detail, check here 👉 https://t.co/biqRaEK1m2",1,8,53,1,ecommurz
2022-10-17 09:02:44+00:00,1581933718767222785,"3RD FINDING: About 33% Korean fans said they never buy whatever their idols promoting.

66% said they never buy cuz they just enjoy whatever their idol performance, 27% said they don't need any of the stuff being promoted 🤔

Surprising? https://t.co/71JxsrcrSD",2,15,65,24,ecommurz
2022-10-17 09:02:40+00:00,1581933705655787521,"2ND FINDING: 74% Korean fans said THEY WILLING TO BUY whatever their idol promoting 😲 vs only 57% for local idol.

Also, 57% of Korean fans willing to save so they can buy whatever their idol promotes.

Whats your take about this? https://t.co/toaN4YLqnR",4,25,74,43,ecommurz
2022-10-17 09:02:38+00:00,1581933695065157633,"KPOP-AS-A-SERVICE, how effective? Why many tech use them as a ultimate weapon? We team up with tSurvey to study this 😉

1ST FINDING: 76% Korean fans must have one celebs they idolized, slightly more fanatic than the locals.

Bad times to be Indo celebs? https://t.co/Cz2GXTBImj",29,558,1559,114,ecommurz
2022-10-16 23:30:11+00:00,1581789632848502789,"BREAKING:
👉 Blibli IPO on the 6th of November
👉 Ticker would be $BELI
👉 Blibli recorded 2.5T loss vs GoTo's 14T for 1st Semester of 2022

Prospectus already online",31,245,723,52,ecommurz
2022-10-16 12:53:57+00:00,1581629518581620737,@ezash @giovani_andriy HMMM spill gak ya,0,0,0,0,ecommurz
2022-10-16 12:53:21+00:00,1581629368178130944,"Also dropped the billion dollar question: ""pegawai startup overpriced nggak?"" https://t.co/kjsBrUw9dn",3,2,19,3,ecommurz
2022-10-16 12:51:40+00:00,1581628943920078848,"""LAYOFF BESOK, KASIH SURAT HARI INI""?????? SAY WHUT 💀💀

MurzRoom edition with Pak @ezash and our host @giovani_andriy 😼👇 https://t.co/24hTQbK1aZ https://t.co/BzcSMH02UA",7,49,203,9,ecommurz
2022-10-16 03:25:04+00:00,1581486357142065152,@demetrius_nobel Dude got balls of steel,0,0,0,0,ecommurz
2022-10-16 03:23:55+00:00,1581486068095803392,@xpokcayx 🤣🤣🤣,0,0,1,0,ecommurz
2022-10-16 03:22:57+00:00,1581485824444485632,@cucunyasoekiman @racheltjhia I keep getting ignored man https://t.co/SYv8CaReLV,2,0,2,0,ecommurz
2022-10-16 01:00:19+00:00,1581449929251123200,"Are ur eyes Shopee apps interface? Cuz I'm lost in them 

#murzpickupline",20,178,543,40,ecommurz
2022-10-15 11:12:28+00:00,1581241592744071168,@insultsrare AYOOOOOOOOOOOOO 💀💀💀,0,0,7,0,ecommurz
2022-10-15 03:15:12+00:00,1581121484877008896,"God give me the courage of a 30 yo business gurus with no real business experience yet keep posting ""How to be a good founder"" 🙏🙏🙏",21,143,481,12,ecommurz
2022-10-14 17:34:19+00:00,1580975302330572801,@ninicherry_ @tiket @tiket tolong ya bosku nanti dirujak lagi loh,0,1,2,0,ecommurz
2022-10-14 17:31:14+00:00,1580974524698238976,@DesignRant2 Terus nanti kena cAncEL,0,0,0,0,ecommurz
2022-10-14 17:29:50+00:00,1580974174268293120,@cucunyasoekiman @racheltjhia https://t.co/kEOm9lv9tm,0,0,4,0,ecommurz
2022-10-14 14:31:08+00:00,1580929200634048514,"Another best part: ""ITS THEY ARE NOT USED TO BEING QUESTIONED""

In. Your. Face. 🔥 https://t.co/OjlbUVotmt",1,6,19,2,ecommurz
2022-10-14 14:08:18+00:00,1580923453149827072,@DesignRant2 @giovani_andriy https://t.co/M6EFg6Wevg,0,0,1,0,ecommurz
2022-10-14 13:34:09+00:00,1580914861994692609,@hamsterszdasian @resir014 🤣🤣🤣🤣 blibli acquired them in 2021,0,0,4,0,ecommurz
2022-10-14 13:00:28+00:00,1580906382898786305,"""G bs bhs enggres"" gang, kindly turn on the freaking CC",1,1,24,1,ecommurz
2022-10-14 12:59:01+00:00,1580906019848212486,"⚠️ The PROBLEM with VCs &amp; why so many startups FAILED ⚠️ DROPPED THE BOMB 🔥😫

Check out this MurzRoom edition with Martyn Terpilowski 👉 https://t.co/DY13IA79RM https://t.co/tCSHq7rdgz",9,67,333,9,ecommurz
2022-10-14 07:16:00+00:00,1580819694818185216,Ranch when the name is not BliKetRanch: https://t.co/71nn6Fq39k,12,58,277,16,ecommurz
2022-10-14 07:15:58+00:00,1580819687713095680,"BREAKING: Blibli, Tiket &amp; Ranch Market join forces and forms ""Blibli Tiket"" 🥳
https://t.co/ZlUcUU9JWs https://t.co/NCGHQisiKw",53,539,1674,349,ecommurz
2022-10-14 04:33:15+00:00,1580778738874130432,@giovani_andriy @ezash @hrdbacot @DesignRant2 CONFIRMED,3,0,6,0,ecommurz
2022-10-13 04:02:30+00:00,1580408611477458944,@ezash East Ventures &amp; entrepreneur wannabe: https://t.co/9POyU5s78S,3,13,152,1,ecommurz
2022-10-12 11:01:39+00:00,1580151707626983425,@DesignRant2 WKWKWWK ANJENG,0,0,0,0,ecommurz
2022-10-12 08:28:04+00:00,1580113056389943297,@AditMKM From Ronaldo to this #TechWinter,3,4,16,0,ecommurz
2022-10-12 08:26:22+00:00,1580112629812457473,@mynameprada ???????????,2,2,1,0,ecommurz
2022-10-12 08:25:59+00:00,1580112532089368578,@fraviato YOOOOOO gonna steal this,0,0,0,0,ecommurz
2022-10-12 07:23:09+00:00,1580096718833471488,@ezash WKWKWKW NJIR,0,0,0,0,ecommurz
2022-10-12 07:19:14+00:00,1580095735705452544,"Are you goto income statement? Cuz I dont wanna loss u ever

#MurzPickupLine",8,30,105,0,ecommurz
2022-10-12 07:10:41+00:00,1580093580818845697,@antania_p https://t.co/0m5yMKbQaV,0,0,1,0,ecommurz
2022-10-12 07:08:32+00:00,1580093040957394944,@ddheara 🤣🤣🤣🤣,0,0,2,0,ecommurz
2022-10-12 04:22:21+00:00,1580051221141782528,@wiuindonesia @nuicemedia @Google OK COUNT ME IN (Only if theres voice changer. And no one is recording. And only selected audience joined in),2,0,5,0,ecommurz
2022-10-12 03:56:30+00:00,1580044714379616257,"Who else ever got interviewed live, via Google Docs? 

Cc @Google note this down in case u runs out of dev idea 😂 https://t.co/QWU6UvyT6f",1,6,23,1,ecommurz
2022-10-11 10:53:10+00:00,1579787186349539328,@txtfrombrand @nogoshop https://t.co/ulpKNTgtv9,1,0,1,0,ecommurz
2022-10-11 00:30:11+00:00,1579630405879476224,"TEAS: Many Shopee team will move out of their SCBD office (PCP) by end of this month. 

Sealabs, Marketing, Video &amp; BD team are reportedly among those moving to other office.",140,458,1398,327,ecommurz
2022-10-10 18:09:01+00:00,1579534483837317120,@DesignRant2 OH DIA LAGI WKWKWK,1,0,1,0,ecommurz
2022-10-09 15:39:47+00:00,1579134536763392000,Vote below:,1,0,1,1,ecommurz
2022-10-09 15:39:46+00:00,1579134532170940416,Will u invest in stock cuz the app use kpop idol as a BA? https://t.co/yTwWXE4cDD,8,29,133,25,ecommurz
2022-10-09 15:01:06+00:00,1579124805265428481,@shechiaa Masih intern tapi requirement fulltime with 5 years of exp,1,1,12,1,ecommurz
2022-10-09 05:39:32+00:00,1578983481190674432,@gabrieljpeg @iamzheanna We r doomed,0,0,0,0,ecommurz
2022-10-08 12:38:34+00:00,1578726545878790144,@vaudie13 🤣🤣🤣🤣😭,0,0,1,0,ecommurz
2022-10-08 03:01:57+00:00,1578581435220312065,@destiree__ https://t.co/kg1ckRuIb2,0,0,0,0,ecommurz
2022-10-08 03:00:49+00:00,1578581148409556993,https://t.co/osC1OyJTSs,1,6,14,3,ecommurz
2022-10-08 02:53:39+00:00,1578579345186033666,"""META/FACEBOOK LAYOFF 12K WORKERS""

+62: Suruh siapa kerja di Tech, mending jadi PNS https://t.co/Ze7ER4tqUv",31,360,913,65,ecommurz
2022-10-07 08:06:30+00:00,1578295688420474880,@heirloomtomita @txtdrberseragam Satu hari satu oknum yha,0,0,2,0,ecommurz
2022-10-07 06:36:28+00:00,1578273033671700480,@pantau42069 @ttmymoodb Vidio need to broadcast this and I will definitely pay for their subs,1,0,7,0,ecommurz
2022-10-07 06:18:20+00:00,1578268469115510784,@aldyrhmnd @txtdrjkt WKWKWKWKWKWKWKWKWKWKWKWKKWKWKWKWKWKWKWKWKKW,0,0,0,0,ecommurz
2022-10-07 06:13:28+00:00,1578267244366204929,@memefess NAMA AKUN LO 🤣,1,0,4,0,ecommurz
2022-10-07 05:51:55+00:00,1578261822012264448,"""WFO boost productivity""
""WFO means u show commitment""
""WFO good for u to connect with professionals in Industry""

But that also mean stuck in Jakarta traffic at least 5 hours a day. Plus the damn flood if youre lucky 👍 https://t.co/RLG3NH4PyJ",107,3741,7148,263,ecommurz
2022-10-07 05:32:57+00:00,1578257046847488000,@sintakajar WIHHHHHH,1,0,0,0,ecommurz
